timedelta,symbol,commence
{Timedelta('0 days 00:20:00')},{'JASMY-USD'},"{datetime.datetime(2024, 5, 29, 0, 19, 23)}"
{Timedelta('0 days 00:30:00')},{'LCX-USD'},"{datetime.datetime(2024, 5, 5, 21, 23, 53)}"
{Timedelta('0 days 00:55:00')},{'WCFG-USD'},"{datetime.datetime(2024, 5, 21, 19, 54, 13)}"
{Timedelta('0 days 01:05:00')},{'PRQ-USD'},"{datetime.datetime(2024, 5, 13, 18, 25, 54)}"
{Timedelta('0 days 06:20:00')},{'OCEAN-USD'},"{datetime.datetime(2024, 5, 21, 16, 28, 8)}"
{Timedelta('0 days 00:15:00')},{'RAD-USD'},"{datetime.datetime(2024, 5, 4, 21, 9, 28)}"
{Timedelta('0 days 22:20:00')},{'API3-USD'},"{datetime.datetime(2024, 5, 11, 16, 46, 10)}"
{Timedelta('0 days 05:27:00')},{'LRC-USD'},"{datetime.datetime(2024, 5, 14, 1, 37, 20)}"
{Timedelta('0 days 01:30:00')},{'T-USD'},"{datetime.datetime(2024, 5, 16, 10, 26, 26)}"
{Timedelta('0 days 00:36:00')},{'HBAR-USD'},"{datetime.datetime(2024, 5, 18, 15, 55, 7)}"
{Timedelta('0 days 06:03:00')},{'SHIB-USD'},"{datetime.datetime(2024, 5, 5, 18, 40, 40)}"
{Timedelta('0 days 01:40:00')},{'NEAR-USD'},"{datetime.datetime(2024, 5, 13, 22, 49, 49)}"
{Timedelta('0 days 20:40:00')},{'POWR-USD'},"{datetime.datetime(2024, 5, 11, 16, 59, 57)}"
{Timedelta('0 days 02:50:00')},{'LSETH-USD'},"{datetime.datetime(2024, 5, 17, 8, 0, 35)}"
{Timedelta('1 days 16:15:00')},{'API3-USD'},"{datetime.datetime(2024, 5, 13, 22, 22, 46)}"
{Timedelta('0 days 01:36:00')},{'LRC-USD'},"{datetime.datetime(2024, 5, 14, 22, 36, 22)}"
{Timedelta('0 days 11:00:00')},{'FORTH-USD'},"{datetime.datetime(2024, 5, 21, 19, 18, 5)}"
{Timedelta('0 days 10:25:00')},{'REQ-USD'},"{datetime.datetime(2024, 5, 5, 21, 12, 38)}"
{Timedelta('0 days 18:40:00')},{'WAMPL-USD'},"{datetime.datetime(2024, 5, 14, 23, 34, 8)}"
{Timedelta('0 days 02:10:00')},{'AUDIO-USD'},"{datetime.datetime(2024, 5, 14, 23, 9, 5)}"
{Timedelta('0 days 01:49:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 26, 13, 8, 11)}"
{Timedelta('0 days 01:45:00')},{'WAMPL-USD'},"{datetime.datetime(2024, 5, 5, 11, 9, 25)}"
{Timedelta('1 days 00:42:00')},{'ENJ-USD'},"{datetime.datetime(2024, 5, 26, 13, 2, 32)}"
{Timedelta('0 days 18:20:00')},{'LQTY-USD'},"{datetime.datetime(2024, 5, 4, 22, 3, 1)}"
{Timedelta('0 days 20:15:00')},{'POWR-USD'},"{datetime.datetime(2024, 5, 11, 17, 13, 47)}"
{Timedelta('1 days 07:56:00')},{'BAT-USD'},"{datetime.datetime(2024, 5, 19, 9, 24, 30)}"
{Timedelta('1 days 11:25:00')},{'POLS-USD'},"{datetime.datetime(2024, 5, 4, 21, 5, 18)}"
{Timedelta('0 days 14:35:00')},{'AIOZ-USD'},"{datetime.datetime(2024, 5, 19, 13, 15, 27)}"
{Timedelta('0 days 21:45:00')},{'LIT-USD'},"{datetime.datetime(2024, 5, 16, 10, 26, 3)}"
{Timedelta('0 days 00:19:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 24, 23, 27, 59)}"
{Timedelta('0 days 20:40:00')},{'API3-USD'},"{datetime.datetime(2024, 5, 11, 18, 7, 33)}"
{Timedelta('0 days 04:20:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 15, 3, 0, 25)}"
{Timedelta('0 days 06:40:00')},{'SEI-USD'},"{datetime.datetime(2024, 5, 28, 23, 2, 37)}"
{Timedelta('1 days 15:50:00')},{'OGN-USD'},"{datetime.datetime(2024, 5, 13, 18, 43, 53)}"
{Timedelta('0 days 12:45:00')},{'AKT-USD'},"{datetime.datetime(2024, 5, 28, 23, 2, 46)}"
{Timedelta('1 days 03:03:00')},{'EOS-USD'},"{datetime.datetime(2024, 5, 26, 12, 36, 23)}"
{Timedelta('0 days 01:30:00')},{'STX-USD'},"{datetime.datetime(2024, 5, 20, 6, 41, 26)}"
{Timedelta('1 days 05:06:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 19, 11, 36, 36)}"
{Timedelta('3 days 00:35:00')},{'TIA-USD'},"{datetime.datetime(2024, 5, 17, 22, 3, 19)}"
{Timedelta('0 days 18:01:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 24, 23, 34, 41)}"
{Timedelta('0 days 00:22:00')},{'CRO-USD'},"{datetime.datetime(2024, 5, 23, 21, 35, 32)}"
{Timedelta('0 days 02:50:00')},{'AIOZ-USD'},"{datetime.datetime(2024, 5, 21, 18, 19, 44)}"
{Timedelta('0 days 12:10:00')},{'DESO-USD'},"{datetime.datetime(2024, 5, 4, 23, 54, 18)}"
{Timedelta('0 days 00:05:00')},{'AKT-USD'},"{datetime.datetime(2024, 5, 24, 23, 7, 55)}"
{Timedelta('1 days 04:40:00')},{'PNG-USD'},"{datetime.datetime(2024, 5, 26, 11, 51, 19)}"
{Timedelta('0 days 06:17:00')},{'ALGO-USD'},"{datetime.datetime(2024, 5, 23, 22, 25, 59)}"
{Timedelta('0 days 03:40:00')},{'TNSR-USD'},"{datetime.datetime(2024, 5, 14, 22, 55, 46)}"
{Timedelta('0 days 11:30:00')},{'FIS-USD'},"{datetime.datetime(2024, 5, 15, 1, 18, 28)}"
{Timedelta('0 days 00:30:00')},{'PNG-USD'},"{datetime.datetime(2024, 5, 11, 19, 53, 32)}"
