symbol,bc,ac,tbv,tav,time,mp
PAX-USD,52872.21,18090959.27,1704775.45,38433.94,1718748749188,0.9996
ZEN-USD,55458.91,6477375.57,23475.68,49334.11,1718748749399,6.25
SAFE-USD,222129.13,3564565.06,169920.33,186701.80,1718748750573,1.3402
RONIN-USD,49274.03,1039175.33,23708.37,83446.92,1718748752198,2.29
NEON-USD,135432.52,635204.46,271033.03,399912.98,1718748752683,0.609
RENDER-USD,167072.13,5662706.16,60816.30,107072.15,1718748753220,7.166
RAI-USD,39195.90,413520.07,32381.14,23008.08,1718748755747,2.82
PERP-USD,58664.40,32985758.73,211143.56,441608.43,1718748756346,0.7257
ARKM-USD,126305.53,3922413.50,88421.05,239888.15,1718748756985,1.569
ACS-USD,56180.97,38581670.52,199491397.00,229564566.00,1718748758003,0.0018672
RONIN-USD,50793.69,1039318.09,24377.83,83499.18,1718748759012,2.29
SHDW-USD,102929.83,1474139.45,580274.66,548156.31,1718748759735,0.462
WAMPL-USD,122900.25,1632562.69,7234.31,10230.00,1718748759912,26.07
MAGIC-USD,50579.32,772214.05,354992.20,268617.87,1718748760219,0.5675
MSOL-USD,36629.33,142763.28,3713.99,456.20,1718748761562,163.52
VOXEL-USD,22206.32,2635735.05,533461.90,680899.49,1718748761573,0.1658
ALEPH-USD,146515.18,117019527.45,1289100.00,1999699.70,1718748762159,0.2358
PUNDIX-USD,42166.32,1209066.12,1295173.64,270876.01,1718748762352,0.3626
WCFG-USD,29483.86,1394806.84,116386.15,455042.63,1718748763059,0.42
LIT-USD,33030.25,726246.65,126035.30,97875.66,1718748764109,0.7655
POND-USD,35798.14,265135380.86,3462500.00,11025079.00,1718748764628,0.0161
MAGIC-USD,49245.37,770173.33,352652.23,265046.57,1718748764893,0.5671
API3-USD,85680.03,6612173.51,80246.60,297262.88,1718748765365,2.213
PAX-USD,52872.21,18090959.27,1704775.45,38433.94,1718748766245,0.9996
AERGO-USD,50225.44,1000351.84,945602.80,3028211.20,1718748767744,0.0823
RAI-USD,39179.92,413229.14,32374.87,22911.99,1718748770163,2.82
POLS-USD,38896.22,3005095.61,139664.04,148551.06,1718748772367,0.5632
VOXEL-USD,22204.21,2635735.05,533447.21,680899.49,1718748773544,0.1658
AERGO-USD,47532.38,1000352.31,912532.10,3028216.90,1718748773583,0.0823
POND-USD,36290.74,265135288.02,3493519.00,11019293.00,1718748774740,0.01611
AERGO-USD,47532.38,1000354.01,912532.10,3028237.50,1718748775696,0.0823
POND-USD,41455.56,265135397.31,3815369.00,11025797.00,1718748780325,0.01611
FIDA-USD,56874.75,6462884.74,268937.96,1222721.09,1718748780514,0.3201
ALICE-USD,54582.09,10178893.09,71021.81,200431.06,1718748780609,1.107
RARE-USD,33713.85,3234190.93,443786.90,2176867.60,1718748781294,0.0945
SHDW-USD,103331.89,1474270.68,581336.38,547767.48,1718748781752,0.462
BADGER-USD,87440.27,2245418.22,31316.33,102707.13,1718748782712,3.13
MPL-USD,134782.82,7793102.66,15864.68,63623.48,1718748783374,11.24
RONIN-USD,50426.46,1039406.36,24220.37,83545.92,1718748783400,2.29
MNDE-USD,64465.58,6194739.74,3889474.00,4778419.00,1718748783736,0.10956
TIME-USD,48881.11,95047125.95,2648.81,17196.31,1718748783913,25.91
AERGO-USD,50079.51,1000513.47,943792.10,3030199.70,1718748783988,0.0822
GUSD-USD,466361.82,8156391.56,483205.13,185625.85,1718748784155,1
VOXEL-USD,22206.60,2635735.05,533461.65,680899.49,1718748784525,0.1658
SAFE-USD,222124.54,3564557.66,169915.25,186696.46,1718748785516,1.3402
LSETH-USD,5973.57,2039.62,13904.12,0.46,1718748786775,3916.09
RENDER-USD,165974.36,5718482.11,60621.63,114581.02,1718748786886,7.168
LSETH-USD,5973.57,2039.62,13904.12,0.46,1718748787044,3916.09
NEON-USD,134654.84,635204.46,269698.09,399912.98,1718748787278,0.609
AGLD-USD,66601.50,2131727.46,435232.95,215844.48,1718748788396,1.12
AST-USD,22849.44,9566224.08,252454.50,3347248.10,1718748788563,0.0993
PERP-USD,58864.49,32985532.66,211436.83,441300.76,1718748789015,0.725
SAFE-USD,222124.54,3564557.66,169915.25,186696.46,1718748789197,1.3402
FIS-USD,27126.33,384056.72,333411.00,289657.90,1718748789473,0.3703
MASK-USD,106800.58,2263147.69,50551.80,160204.08,1718748789550,2.42
WAXL-USD,146329.36,11510601.96,265136.83,219976.54,1718748789839,0.6649
RARE-USD,34616.70,3234190.93,453402.00,2176867.60,1718748790186,0.0945
STORJ-USD,112470.42,30999374.39,8932036.36,2288863.87,1718748790782,0.3594
WAXL-USD,146381.50,11510667.93,265213.70,220071.26,1718748791089,0.665
WAMPL-USD,122485.27,1632091.33,7218.38,10229.30,1718748791329,26.07
00-USD,34210.44,20767279.14,835112.48,16059776.43,1718748792433,0.0528
INDEX-USD,43800.72,10374552.70,15792.60,150769.27,1718748792929,3.64
RPL-USD,66479.94,739685.83,4555.77,13197.19,1718748793206,27.33
RPL-USD,69923.78,741014.06,4682.86,13246.08,1718748793303,27.3
DAI-USD,329372.58,17720328.02,15277794.11,364224.37,1718748796108,0.9999
SHDW-USD,103136.93,1475305.15,580834.46,549770.60,1718748796485,0.462
METIS-USD,192963.83,7451309.34,10476.61,20327.12,1718748797591,52.54
PIRATE-USD,171784.84,559599.79,1381715.70,869944.00,1718748797637,0.2126
LSETH-USD,5973.57,2039.62,13904.12,0.46,1718748798953,3916.09
FLR-USD,223744.46,265364946.44,282438810.00,45617466.00,1718748799194,0.02437
SHDW-USD,103142.04,1475040.10,580834.82,549559.62,1718748799817,0.462
PYUSD-USD,330047.81,4258651.99,2931673.62,225071.62,1718748800984,0.9987
TVK-USD,151779.74,31742108.20,3146943.00,6209508.00,1718748801247,0.1426
NEON-USD,135184.25,635034.53,270615.23,399621.59,1718748801607,0.609
ACS-USD,56464.60,38581840.32,199645929.00,229654564.00,1718748801614,0.0018676
WAMPL-USD,121865.61,1631021.45,7194.65,10188.10,1718748801783,26.06
MSOL-USD,36607.61,142506.07,3713.81,454.63,1718748801861,163.48
ARKM-USD,125182.46,3921361.31,87748.84,239266.98,1718748802434,1.568
DAI-USD,329372.58,17720328.02,15277794.11,364224.37,1718748803097,0.9999
EGLD-USD,76652.92,2394965.67,25574.69,9406.19,1718748803359,29.08
RARE-USD,34267.93,3234190.93,449683.80,2176867.60,1718748803415,0.0945
